geojson_name,best_partial_match,partial_score
1001068014 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1001073137 ONTAIO INC,TAGO INC. (1000318707),69.76744186046511
1001108464 ONTARIO INC.,MUSICONTARIO (1001138808),70.83333333333333
1001109139 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1001110988 ONTARIO INC,MUSICONTARIO (1001138808),72.34042553191489
1001118596 ONTARIO LIMITED,ONTARIO ELITE (1001278493),73.07692307692308
1001128384 ONTARIO INC,MUSICONTARIO (1001138808),72.34042553191489
1001157292 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1001168177 ONTARIO INC,1707115 ONTARIO INC. (1707115),73.07692307692308
1001224094 ONTARIO INC,AFOA ONTARIO (1001222609),72.34042553191489
1001229819 ONTARIO INC,ONTARIO ELITE (1001278493),70.83333333333333
1001235 ONTARIO LTD,ONTARIO ELITE (1001278493),75.55555555555556
1001254053 ONTARIO INC,ONTARIO ELITE (1001278493),70.83333333333333
1001258548 ONTARIO INC,ONTARIO ELITE (1001278493),70.83333333333333
1001277882 ONTARIO INC,ONTARIO ELITE (1001278493),70.83333333333333
1001285963 ONTARIO INC.,DLHC ONTARIO INC. (1000721296),75.47169811320755
1001288285 ONTARIO INC,MUSICONTARIO (1001138808),72.34042553191489
1001312928 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1001313142 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1001328271 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1001362878 ONTARIO INC,MUSICONTARIO (1001138808),72.34042553191489
1005411 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.38775510204081
10099856 CANADA INC,JPL CANADA INC. (1000781425),68.08510638297872
101 CHURCH STREET HOLDING INC,CHURCH IN THE FIELDS MINISTRY (1707040),61.76470588235294
1011202 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.38775510204081
10138851 CANADA INC,RAIN CANADA INC. (1001339331),66.66666666666667
10147087 CANADA INCORPORATED,CAMP ETHIOPIA INCORPORATED (1905728),65.625
10182134 MANITOBA LTD,MIRACLE LIGHT (1000108291),55.319148936170215
1029010 ONTARIO LTD,ONTARIO ELITE (1001278493),66.66666666666667
10330221 CANADA INC,RAIN CANADA INC. (1001339331),66.66666666666667
10342904 CANADA INC,AEL FC CANADA (1001034794),66.66666666666667
10374253 CANADA INC,JPL CANADA INC. (1000781425),72.34042553191489
1042129 ONTARIO LIMITED IN TRUST,522984 ONTARIO LIMITED (522984),63.49206349206349
10466441 CANADA INC,CLL CANADA (1000519041),61.904761904761905
1048079 ONTARIO LIMITED,ONTARIO ELITE (1001278493),73.46938775510203
105 HOLBORN INC,CHYNE INC. (1881085),57.14285714285714
1054419 ONTARIO INC,1707115 ONTARIO INC. (1707115),65.3061224489796
1054515 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.38775510204081
1054558 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),74.07407407407408
10583111 CANADA INC,CLL CANADA (1000519041),66.66666666666667
1064542 ONTARIO INC,CCGA ONTARIO (1000144352),68.18181818181819
1065 KING (KITCHENER) LIMITED,KINDNESS UNLIMITED (1000419182),50.0
1067915 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.38775510204081
10684813 CANADA LTD,CLL CANADA (1000519041),61.904761904761905
107 CHANDLER INC,CHYNE INC. (1881085),61.111111111111114
10706698 CANADA INC,CRIB CANADA (1776029),65.0
1071771 ONTARIO INC,1707115 ONTARIO INC. (1707115),77.55102040816327
1073297 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.38775510204081
10754196 CANADA INC,CLL CANADA (1000519041),66.66666666666667
1077992 ONTARIO INC,1707115 ONTARIO INC. (1707115),65.3061224489796
1084199 ONTARIO INC,ONTARIO ELITE (1001278493),66.66666666666667
1090495 ONTARIO INC,CCGA ONTARIO (1000144352),68.18181818181819
1090596 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.38775510204081
11 OVERLEA DR (KIT) LTD,ART REACH OAKVILLE (1001006330),48.14814814814815
11033395 CANADA INC,RAIN CANADA INC. (1001339331),66.66666666666667
11071777 CANADA INCORPORATED,KJMC HAMILTON INCORPORATED (1001377778),65.67164179104478
1107852 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),70.37037037037037
1114101 ONTARIO INC,1707115 ONTARIO INC. (1707115),73.46938775510203
1123766 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.38775510204081
1124338 ONTARIO INC,ONTARIO ELITE (1001278493),66.66666666666667
114 SHOEMAKER ST INC,SHROOMFEST INC. (1868431),62.22222222222222
114-120 VICTORIA ST SOUTH INC,END TIME VICTORY OUTREACH INC. (1533562),57.971014492753625
11420054 CANADA INC,JPL CANADA INC. (1000781425),68.08510638297872
1143035 ONTARIO INC,CCGA ONTARIO (1000144352),68.18181818181819
1146012 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.38775510204081
11475347 CANADA INC,JPL CANADA INC. (1000781425),63.829787234042556
115 NORFINCH LTD,CLIMATE NORTH (1001000567),52.38095238095239
1154461 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),70.37037037037037
11548352 CANADA CORP,CRYOCARE CANADA (1169353),66.66666666666667
11559826 CANADA INC,SHADOWS CANADA INC. (1815059),66.66666666666667
1159436 ONTARIO LTD,HILLEL ONTARIO (1193632),69.76744186046511
1159446 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),74.07407407407408
11633007 CANADA LTD,SIM CANADA (1335910),61.53846153846154
11637304 CANADA INC,SIM CANADA (1335910),66.66666666666667
1164534 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),70.37037037037037
1164603 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.38775510204081
11653539 CANADA INC,CRYOCARE CANADA (1169353),68.18181818181819
1168221 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),70.37037037037037
11718274 CANADA INC,JPL CANADA INC. (1000781425),63.829787234042556
1175 WEBER GP INC,GANESHA TEMPLE INC. (1759523),52.17391304347826
1175109 ONTARIO LIMITED,ONTARIO ELITE (1001278493),69.38775510204081
1176 HOLDINGS LIMITED,TABERNACLE HOLDINGS (1001086653),56.60377358490566
11771612 CANADA CORPORATION,ECOWATCH CANADA CORPORATION (1795165),71.875
1184866 ONTARIO INC,WUSHU ONTARIO INC. (1218564),68.08510638297872
1188042 ONTARIO INC,MUSICONTARIO (1001138808),68.18181818181819
11896164 CANADA INC,AVE SOL CANADA INC. (711589),63.829787234042556
1191373 ONTARIO INC,HILLEL ONTARIO (1193632),69.76744186046511
120 WOOLWICH GP INC,CITIZENS FOR WOOLWICH INC. (1320559),61.81818181818181
1205450 ONTARIO INC,WUSHU ONTARIO INC. (1218564),68.08510638297872
121-151 CHARLES ST (THE TANNERY) INC,THE SIMPLE CHAPEL INC. (1001211221),56.33802816901409
1210899 ONTARIO LTD,ONTARIO ELITE (1001278493),66.66666666666667
12132940 CANADA INCORPORATED,GIRLS INCORPORATED OF UPPER CANADA (417810),64.7887323943662
1216801 BC LTD,LINK YAD CHESED (1626580),51.28205128205128
1218939 ONTARIO LIMITED,ONTARIO ELITE (1001278493),73.46938775510203
12197995 CANADA INC,INAS (CANADA) (290725),68.29268292682926
1221758 ONTARIO LTD,ONTARIO ELITE (1001278493),66.66666666666667
12273829 CANADA INC,CRIB CANADA (1776029),65.0
12299364 CANADA INC,ETHNOS CANADA (221983),63.41463414634146
1232111 ONTARIO INC,1707115 ONTARIO INC. (1707115),65.3061224489796
1232118 ONTARIO INC,WUSHU ONTARIO INC. (1218564),68.08510638297872
1232119 ONTARIO INC,DLHC ONTARIO INC. (1000721296),65.3061224489796
12346427 CANADA INC,PIONEERS CANADA (1836375),63.63636363636363
12370409 CANADA INC,TEGLOMA CANADA INC. (1523070),66.66666666666667
12385821 CANADA INC,SIM CANADA (1335910),66.66666666666667
12419017 CANADA INC,INAS (CANADA) (290725),68.29268292682926
12420252 CANADA INC,INAS (CANADA) (290725),68.29268292682926
1243936 ONTARIO LTD,ONTARIO ELITE (1001278493),71.11111111111111
1246731 ONTARIO LTD,ONTARIO ELITE (1001278493),66.66666666666667
12476207 CANADA INC,CRIB CANADA (1776029),65.0
125 INDIAN ROAD (KITCHENER) LIMITED,NODAMADIWIGUMMIK OF KITCHENER WATERLOO (1133560),50.60240963855422
1258057 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),70.37037037037037
1260848 ONTARIO INC,WUSHU ONTARIO INC. (1218564),68.08510638297872
1266304 ONTARIO INC,WUSHU ONTARIO INC. (1218564),68.08510638297872
1266347 ONTARIO LTD,ONTARIO ELITE (1001278493),62.22222222222222
12685787 CANADA INC,HAAZINU CANADA INC. (1327357),62.5
12705371 CANADA INC,HAAZINU CANADA INC. (1327357),66.66666666666667
12707594 CANADA CORPORATION,ECOWATCH CANADA CORPORATION (1795165),68.75
1271395 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),70.37037037037037
1274188 ONTARIO LTD,ONTARIO ELITE (1001278493),66.66666666666667
12743931 CANADA INC,RAIN CANADA INC. (1001339331),66.66666666666667
1279995 ONTARIO INC,WUSHU ONTARIO INC. (1218564),63.829787234042556
1284181 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),74.07407407407408
128425 CANADA INC,JPL CANADA INC. (1000781425),71.11111111111111
1289193 ONTARIO INC,ONTARIO ELITE (1001278493),66.66666666666667
1291105 ONTARIO LTD,NETBALL ONTARIO (291458),65.11627906976744
12952947 CANADA INC,IAIO CANADA (1001295491),65.11627906976744
1295314 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),74.07407407407408
1300 GARMENT STREET INC,DOUGLAS STREET GROUP HOME INC. (1608147),60.31746031746032
1300825 ONTARIO INC,NWAR INC. (1000845251),68.29268292682926
13069117 CANADA INC,SIM CANADA (1335910),66.66666666666667
1314 FISHER-HALLMAN ROAD LTD,FALAISE ROAD PROPERTY INC. (134265),50.79365079365079
13173330 CANADA INC,RAIN CANADA INC. (1001339331),66.66666666666667
1322167 ONTARIO INC,WUSHU ONTARIO INC. (1218564),68.08510638297872
1324248 ONTARIO INC,CRUISE ONTARIO (1431440),65.11627906976744
1324250 ONTARIO INC,JUEL OF ONTARIO INC. (1893475),65.3061224489796
1324251 ONTARIO INC,JUEL OF ONTARIO INC. (1893475),65.3061224489796
1325391 ONTARIO INC,ONTARIO CAMPS ASSOCIATION (125310),64.15094339622642
1325751 ONTARIO LTD,CORHEALTH ONTARIO (1575400),65.21739130434783
13309908 CANADA INC,SIM CANADA (1335910),71.7948717948718
1331061 ONTARIO INC,1707115 ONTARIO INC. (1707115),65.3061224489796
1333W LANDS LTD.,FOLK CANADA (733366),50.0
13363333 CANADA INC,RAIN CANADA INC. (1001339331),66.66666666666667
1337147 ONTARIO LIMITED,ONTARIO ELITE (1001278493),65.3061224489796
13399453 CANADA INC,RAIN CANADA INC. (1001339331),66.66666666666667
1340419 ONTARIO INC,DLHC ONTARIO INC. (1000721296),65.3061224489796
13439551 CANADA INC,SIM CANADA (1335910),71.7948717948718
13441806 CANADA CORP,"CONCERN NEPAL, CANADA (1994616)",62.745098039215684
13451909 CANADA INC,SIM CANADA (1335910),71.7948717948718
13500934 CANADA INC,CLL CANADA (1000519041),66.66666666666667
1353985 ONTARIO INC,WUSHU ONTARIO INC. (1218564),63.829787234042556
1357568 ONTARIO INC,1707115 ONTARIO INC. (1707115),65.3061224489796
13588173 CANADA INC,SIM CANADA (1335910),66.66666666666667
1360752 ONTARIO LTD,HILLEL ONTARIO (1193632),65.11627906976744
1361821 ONTARIO INC,HILLEL ONTARIO (1193632),65.11627906976744
13618285 CANADA INC,JPL CANADA INC. (1000781425),63.829787234042556
1361959 ONTARIO INC,WUSHU ONTARIO INC. (1218564),63.829787234042556
13651631 CANADA INC,SIM CANADA (1335910),66.66666666666667
13658724 CANADA INC,PIONEERS CANADA (1836375),63.63636363636363
13676498 CANADA INC,CRIB CANADA (1776029),65.0
137 FREDERICK INC,EIPROC INC. (366071),54.054054054054056
13710025 CANADA INC,JPL CANADA INC. (1000781425),68.08510638297872
13803040 CANADA INC,SIM CANADA (1335910),66.66666666666667
