BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
818528861RR0001	Open Ears Festival of Music and Sound	Registered	Charity	2021-07-19		0001	Other purposes beneficial to the community	0190	26011 - 250 KING ST W 	KITCHENER	ON	CA	N2G1B6
849482773RR0001	Coalition of Muslim Women of KW	Registered	Charity	2021-02-08		0001	Other purposes beneficial to the community	0160	79 JOSEPH ST 	KITCHENER	ON	CA	N2G1J2
703497289RR0001	Unwrap Theatre	Registered	Charity	2019-04-08		0001	Advancement of Education	0012	15 ROSE GARDEN STREET 	KITCHENER	ON	CA	N2B3T1
898943857RR0001	HOPESPRING CANCER SUPPORT CENTRE	Registered	Charity	1995-04-10		0001	Relief of Poverty	0001	54 BENTON ST 	KITCHENER	ON	CA	N2G3H2
898783758RR0001	CREATESCAPE WATERLOO REGION	Registered	Charity	1995-07-01		0001	Other purposes beneficial to the community	0190	94 WINDRUSH TRAIL 	KITCHENER	ON	CA	N2P2B3
892825969RR0001	WATERLOO WELLINGTON MYALGIC ENCEPHALOMYELITIS ASSOCIATION	Registered	Charity	1993-01-01		0001	Relief of Poverty	0001	PO. BOX 20075 	KITCHENER	ON	CA	N2P2B4
892712993RR0001	Tabernàculo Bautista Nueva Jerusalén	Registered	Charity	1996-06-16		0001	Advancement of Religion	0030	1850 GLASGOW ST 	KITCHENER	ON	CA	N2N0A7
892379983RR0001	COMMUNITY RESOURCES FOR PEOPLE IN CONFLICT WITH THE LAW	Registered	Charity	1977-06-01		0001	Other purposes beneficial to the community	0160	79 WEBER ST E 	KITCHENER	ON	CA	N2H1C6
892159278RR0001	ANCHOR MINISTERIAL FELLOWSHIP	Registered	Charity	1978-01-01		0001	Advancement of Religion	0070	7B - 871 VICTORIA ST N 	KITCHENER	ON	CA	N2B3S4
892102286RR0001	The Catholic Community Foundation of Waterloo Region Inc.	Registered	Charity	1995-01-01		0002	Advancement of Education	0015	35 WEBER ST. WEST PO BOX 91116	KITCHENER	ON	CA	N2G4G2
