BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
840337653RR0001	RECEPTION HOUSE - WATERLOO REGION INC.	Registered	Charity	2011-05-05		0001	Relief of Poverty	0001	700 - 101 FREDERICK ST 	KITCHENER	ON	CA	N2H6R2
747736924RR0001	Base Church	Registered	Charity	2017-07-01		0001	Advancement of Religion	0030	100 FERGUS AVE 	KITCHENER	ON	CA	N2A2H2
823571864RR0001	FREEDOM IN CHRIST PENTECOSTAL ASSEMBLY	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	1643 BLEAMS ROAD 	KITCHENER	ON	CA	N2E3X8
107396905RR0074	Our God Hears - Kitchener-Waterloo Foursquare Gospel Church	Registered	Charity	2010-05-27		0001	Advancement of Religion	0030	685 WINDFLOWER CRESCENT 	KITCHENER	ON	CA	N2E4E4
892607086RR0001	HOPE MISSION OF CHRIST	Registered	Charity	1996-06-10		0001	Advancement of Religion	0070	448 OLD CHICOPEE TRAIL 	KITCHENER	ON	CA	N2A4H2
107493892RR0001	HOUSE OF FRIENDSHIP	Registered	Charity	1967-01-01		0001	Advancement of Religion	0070	51 CHARLES ST EAST 	KITCHENER	ON	CA	N2G2P3
814999660RR0001	Tribute to Liberty - A Memorial to Victims of Communism Inc.	Registered	Charity	2010-04-22		0001	Other purposes beneficial to the community	0200	629 MILL PARK DR. 	KITCHENER	ON	CA	N2P1V4
721590552RR0001	WATERLOO REGIONAL HEALTH NETWORK	Registered	Charity	2024-01-01		0001	Other purposes beneficial to the community	0100	835 KING STREET WEST 	KITCHENER	ON	CA	N2G4K9
826806085RR0001	Metabolic Syndrome Canada	Registered	Charity	2013-02-01		0001	Other purposes beneficial to the community	0110	155 EDGEHILL DR 	KITCHENER	ON	CA	N2P2C6
818949901RR0001	The Living Church of Christ	Registered	Charity	2013-01-01		0001	Advancement of Religion	0030	105 RUSH MEADOW STREET, 	KITCHENER	ON	CA	N2R1T3
838152809RR0001	THE VOICE OF ORPHANS CANADA	Registered	Charity	2011-10-01		0001	Relief of Poverty	0001	624 VICTORIA STREET SOUTH 	KITCHENER	ON	CA	N2M3B1
108028119RR0001	St. Luke's Evangelical Lutheran Church, Kitchener, Ontario.	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	317 FRANKLIN ST NORTH 	KITCHENER	ON	CA	N2A1Y9
107846842RR0001	PIONEER PARK CHRISTIAN FELLOWSHIP	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	68 BIEHN DRIVE 	KITCHENER	ON	CA	N2R1M3
108051988RR0001	K-W SENIORS DAY PROGRAM INC.	Registered	Charity	1988-05-01		0001	Other purposes beneficial to the community	0200	695 BLOCK LINE RD 	KITCHENER	ON	CA	N2E3K1
107572430RR0001	KITCHENER EAST PRESBYTERIAN CHURCH	Registered	Charity	1986-06-26		0001	Advancement of Religion	0030	10 ZELLER DRIVE 	KITCHENER	ON	CA	N2A4A8
803068741RR0001	MISION CRISTIANA MAHANAIM	Registered	Charity	2006-08-04		0001	Advancement of Religion	0030	91 MADISON AVENUE SOUTH 	KITCHENER	ON	CA	N2G3M4
751269895RR0001	Food4Kids Waterloo Region	Registered	Charity	2017-07-01		0001	Relief of Poverty	0001	4 - 10 WASHBURN DR 	KITCHENER	ON	CA	N2R1S2
743786014RR0001	Al-Salaam Islamic Centre	Registered	Charity	2025-10-24		0001	Advancement of Religion	0040	10 - 300 MILL ST 	KITCHENER	ON	CA	N2M5G8
819882655RR0001	Blue Sea Philanthropy Inc.	Registered	Charity	2012-05-31		0002	Other purposes beneficial to the community	0210	260-659 KING ST E 	KITCHENER	ON	CA	N2G2M4
851586743RR0001	AFRICAN CANADIAN ASSOCIATION OF WATERLOO REGION AND AREA	Registered	Charity	2006-06-19		0001	Other purposes beneficial to the community	0160	201 - 675 QUEEN ST S 	KITCHENER	ON	CA	N2M1A1
106962707RR0001	COMMUNITY JUSTICE INITIATIVES OF WATERLOO REGION	Registered	Charity	1982-01-15		0001	Other purposes beneficial to the community	0160	85 EDWIN ST 	KITCHENER	ON	CA	N2H4N7
107302846RR0001	EMMANUEL BIBLE COLLEGE	Registered	Charity	1967-01-01		0001	Advancement of Education	0010	100 FERGUS AVENUE 	KITCHENER	ON	CA	N2A2H2
106810609RR0001	BRIDGEPORT UNITED CHURCH	Registered	Charity	1968-01-01		0001	Advancement of Religion	0030	40 BRIDGE ST W 	KITCHENER	ON	CA	N2K1K7
129854949RR0001	GRACE LUTHERAN CHURCH,	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	136 MARGARET AVE 	KITCHENER	ON	CA	N2H4H9
830070850RR0001	Advocate Freedom Foundation	Registered	Charity	2010-01-05		0003	Other purposes beneficial to the community	0210	300-4275 KING ST E 3RD FLOOR	KITCHENER	ON	CA	N2P2S9
757606116RR0001	Victoria Spanish Congregation of Jehovah's Witnesses, Kitchener, Ontario	Registered	Charity	1990-01-01		0001	Advancement of Religion	0030	64 - 30 GREEN VALLEY DR 	KITCHENER	ON	CA	N2P1G8
888491115RR0001	ANISHNABEG OUTREACH EMPLOYMENT AND TRAINING INC.	Registered	Charity	2006-04-01		0001	Advancement of Education	0010	236 WOODHAVEN RD 	KITCHENER	ON	CA	N2C1V5
119289239RR0001	WATERLOO REGIONAL HERITAGE FOUNDATION	Registered	Charity	1974-02-13		0002	Other purposes beneficial to the community	0200	150 FREDERICK ST 	KITCHENER	ON	CA	N2G4J3
118983295RR0001	KITCHENER HORTICULTURAL SOCIETY	Registered	Charity	1988-01-01		0001	Other purposes beneficial to the community	0200	7 FLORAL CRES 	KITCHENER	ON	CA	N2G4N9
129948881RR0001	FAITH EVANGELICAL MISSIONARY CHURCH, KITCHENER	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	3849 KING ST E 	KITCHENER	ON	CA	N2P2E8
816151658RR0001	Promise Worship Centre International	Registered	Charity	2010-03-29		0001	Advancement of Religion	0030	1-30 APPALACHIAN CRES 	KITCHENER	ON	CA	N2E1A4
820943090RR0001	Chin Christian Church	Registered	Charity	2009-01-01		0001	Advancement of Religion	0030	182 VICTORIA ST N 	KITCHENER	ON	CA	N2H5C6
119110450RR0066	ST. ANNE'S PARISH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	268 EAST AVE 	KITCHENER	ON	CA	N2H1Z4
119289049RR0001	Grand River Unitarian Congregation	Registered	Charity	1967-01-01		0001	Advancement of Religion	0070	299 SYDNEY STREET SOUTH 	KITCHENER	ON	CA	N2G3V8
881180418RR0001	MEHERET EVANGELICAL CHURCH	Registered	Charity	2002-12-20		0001	Advancement of Religion	0030	456 KRUG ST 	KITCHENER	ON	CA	N2B1L1
761981299RR0001	RYAN SATURNO PATIENT AMENITIES FUND	Registered	Charity	2020-06-01		0001	Relief of Poverty	0001	845 HIDDEN VALLEY RD, 	KITCHENER	ON	CA	N2C2S4
129795332RR0001	RAY OF HOPE INC.	Registered	Charity	1967-07-20		0001	Advancement of Religion	0070	659 KING STREET EAST SUITE 230 	KITCHENER	ON	CA	N2G2M4
119110450RR0027	ST. JOHN'S PARISH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	85 STRANGE ST 	KITCHENER	ON	CA	N2G1R4
866442262RR0001	Stories of Jesus Outreach	Registered	Charity	2000-09-01		0003	Advancement of Religion	0030	31 SUSAN CRESCENT 	KITCHENER	ON	CA	N2A4A8
864759139RR0001	EMMANUEL PARISH CELESTIAL CHURCH OF CHRIST	Registered	Charity	2002-01-01		0001	Advancement of Religion	0070	49 SHADELAND CRES 	KITCHENER	ON	CA	N2M2J1
802886846RR0001	SkateABLE	Registered	Charity	2016-10-11		0001	Other purposes beneficial to the community	0140	44 MADELEINE ST 	KITCHENER	ON	CA	N2R1V4
119054807RR0001	NEW DUNDEE BAPTIST CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	18 WINDING WAY 	KITCHENER	ON	CA	N2N1M1
118970664RR0001	INTERNATIONAL GOSPEL CENTRE	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	35 CHARLES ST E 	KITCHENER	ON	CA	N2G2P3
814711891RR0001	Bosnjacki Islamski Centar Kevser - Kitchener	Registered	Charity	2010-04-09		0001	Advancement of Religion	0040	42 ONTARIO ST. N. 	KITCHENER	ON	CA	N2H4Y4
892099979RR0001	THE SPIRITUAL ASSEMBLY OF THE BAHA'IS OF KITCHENER	Registered	Charity	1967-01-01		0001	Advancement of Religion	0060	PO BOX STANLEY PARK 1005 OTTAWA STREET NORTH	KITCHENER	ON	CA	N2A4A7
118788215RR0001	APOSTOLIC CHRISTIAN CHURCH NAZAREAN	Registered	Charity	1982-09-01		0001	Advancement of Religion	0030	28 AVON ROAD 	KITCHENER	ON	CA	N2B1T6
738624410RR0001	Colleen Cares AIM Foundation	Registered	Charity	2024-01-01		0001	Advancement of Education	0011	50 GLEN PARK CRES 	KITCHENER	ON	CA	N2N1G2
735516528RR0001	RIVER OF LIFE FELLOWSHIP	Registered	Charity	1996-04-15		0001	Advancement of Religion	0030	32 WEBER ST W 	KITCHENER	ON	CA	N2H3Z2
119235091RR0001	THE GILBERT AND SULLIVAN SOCIETY, WATERLOOREGIONAL BRANCH	Registered	Charity	1978-11-10		0001	Other purposes beneficial to the community	0190	58 AHRENS ST. W. 	KITCHENER	ON	CA	N2H4B7
132389222RR0001	BETHANY MISSIONARY CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	160 LANCASTER STREET EAST 	KITCHENER	ON	CA	N2H1N2
133328005RR0001	CHURCH OF THE TRANSFIGURATION,	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	131 VICTORIA STREET SOUTH 	KITCHENER	ON	CA	N2G2B6
134380583RR0001	ISLAMIC HUMANITARIAN SERVICE	Registered	Charity	1990-05-01		0001	Advancement of Religion	0040	81 HOLLINGER CRESCENT 	KITCHENER	ON	CA	N2K2Y8
134370246RR0001	MILLER LAKE CAMP INCORPORATED	Registered	Charity	1968-01-01		0001	Other purposes beneficial to the community	0200	35 FALL HARVEST DR 	KITCHENER	ON	CA	N2P2M2
134114446RR0001	WATERLOO EDUCATION FOUNDATION INC.	Registered	Charity	1990-08-01		0001	Advancement of Education	0011	51 ARDELT AVENUE 	KITCHENER	ON	CA	N2C2R5
133832543RR0001	THE AIDS COMMITTEE OF CAMBRIDGE, KITCHENER, WATERLOO	Registered	Charity	1989-05-16		0001	Relief of Poverty	0001	5 - 1770 KING ST E 	KITCHENER	ON	CA	N2G2P1
132274093RR0001	SEXUAL ASSAULT SUPPORT CENTRE OF WATERLOO REGION	Registered	Charity	1990-11-09		0001	Relief of Poverty	0001	300 - 151 FREDERICK ST 	KITCHENER	ON	CA	N2H2M2
132170994RR0001	Waterloo Region Community Foundation	Registered	Charity	1967-01-01		0002	Other purposes beneficial to the community	0210	200 - 2 KING ST W 	KITCHENER	ON	CA	N2G1A3
132024068RR0001	EL SHADDAI OUTREACH MINISTRIES INC	Registered	Charity	1982-05-24		0001	Advancement of Religion	0030	310 - 475 KING ST E 	KITCHENER	ON	CA	N2G0E6
131978355RR0001	BETHEL LUTHERAN CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	47 SHELDON AVE N 	KITCHENER	ON	CA	N2H3M1
131770620RR0001	WATERLOO PRESBYTERY EXTENSION COUNCIL	Registered	Charity	1978-01-01		0001	Advancement of Religion	0090	25 SUMMIT AVE. 	KITCHENER	ON	CA	N2M4W4
131729212RR0001	PROJECT READ LITERACY NETWORK (WATERLOO-WELLINGTON)	Registered	Charity	1989-09-01		0001	Relief of Poverty	0001	189 - 50 OTTAWA ST S 	KITCHENER	ON	CA	N2G3S7
131303141RR0001	TORONTO ENTOMOLOGISTS' ASSOCIATION	Registered	Charity	1996-02-01		0001	Advancement of Education	0011	49 NORTHFOREST TRAIL 	KITCHENER	ON	CA	N2N2Y7
848686309RR0001	MUSLIM SOCIAL SERVICES OF WATERLOO REGION	Registered	Charity	2013-08-09		0001	Relief of Poverty	0001	480 CHARLES ST E 	KITCHENER	ON	CA	N2G4K5
132410671RR0007	SOCIETY OF ST. VINCENT DE PAUL, ST. JOHN THE BAPTIST CONFERENCE KITCHENER	Registered	Charity	1990-05-18		0001	Relief of Poverty	0001	85 STRANGE ST 	KITCHENER	ON	CA	N2G1R4
886386796RR0001	KITCHENER-WATERLOO COMMUNITY ORCHESTRA INC.	Registered	Charity	1983-06-01		0001	Other purposes beneficial to the community	0190	18 PINE HILL PL 	KITCHENER	ON	CA	N2P2P6
129892659RR0048	COMMUNITY OF CHRIST KITCHENER CONGREGATION	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	414 FISCHER HALLMAN ROAD 	KITCHENER	ON	CA	N2M4Y1
824483234RR0001	Southwest Kitchener Church of Christ	Registered	Charity	2014-05-12		0001	Advancement of Religion	0030	1187 FISCHER HALLMAN ROAD PO BOX 48035, WILLIAMSBURG RO	KITCHENER	ON	CA	N2E2H9
845365881RR0001	Society for the Preservation of the Samuel Bechtel Burial Ground	Registered	Charity	2013-02-25		0001	Other purposes beneficial to the community	0200	83 BRENTWOOD AVENUE 	KITCHENER	ON	CA	N2H2C7
107542896RR0001	JOHN HOWARD SOCIETY OF WATERLOO - WELLINGTON	Registered	Charity	1974-01-01		0001	Other purposes beneficial to the community	0160	310 CHARLES ST E 	KITCHENER	ON	CA	N2G2P9
818506784RR0001	Federation of Canadian Secondary Students/ Fédération des Élèves du Secondaire au Canada	Registered	Charity	2017-04-18		0001	Advancement of Education	0011	42 SASSAFRAS ST 	KITCHENER	ON	CA	N2N3S1
894104868RR0001	FAMILY AND CHILDREN'S SERVICES OF THE WATERLOO REGION EMPLOYEES' CHARITY TRUST	Registered	Charity	1987-10-20		0003	Other purposes beneficial to the community	0210	200 ARDELT AVE 	KITCHENER	ON	CA	N2C2L9
107579732RR0001	KITCHENER-WATERLOO CHRISTIAN FELLOWSHIP	Registered	Charity	1973-06-03		0001	Advancement of Religion	0030	1000 BLEAMS RD 	KITCHENER	ON	CA	N2E3X5
129882908RR0001	MENNONITE CHURCH EASTERN CANADA EGLISE MENNONITE DE L'EST DU CANADA	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	201-50 KENT AVENUE 	KITCHENER	ON	CA	N2G3R1
778271940RR0001	Debre Tsion Saint Mary Tigray Orthodox Tewahdo Church of Southwestern Ontario (DTSMTOTCSO)	Registered	Charity	2025-07-03		0001	Advancement of Religion	0030	388 OTTAWA ST S 	KITCHENER	ON	CA	N2M3P4
850695404RR0001	Mount Carmel Pentecostal Church	Registered	Charity	2011-01-01		0001	Advancement of Religion	0030	PO BOX 46031 RPO FOREST GLEN 	KITCHENER	ON	CA	N2E4J3
838270015RR0001	COMPASS REFUGEE CENTRE INC.	Registered	Charity	2004-02-25		0001	Relief of Poverty	0001	230-675 QUEEN STREET SOUTH 	KITCHENER	ON	CA	N2M1A1
816589287RR0001	Capacity Canada	Registered	Charity	2012-04-05		0001	Other purposes beneficial to the community	0160	20 CRESTVIEW PL 	KITCHENER	ON	CA	N2B0A2
118878891RR0001	Creation Ministries International (Canada)	Registered	Charity	1979-01-01		0001	Advancement of Religion	0070	300 MILL ST. UNIT 7	KITCHENER	ON	CA	N2M5G8
738671916RR0001	Flanagan Family Foundation	Registered	Charity	2019-01-08		0003	Other purposes beneficial to the community	0210	145 OTONABEE DRIVE 	KITCHENER	ON	CA	N2C1L7
757147897RR0001	The Net of Jesus Church	Registered	Charity	2017-03-23		0001	Advancement of Religion	0030	103 - 4 AVALON PL 	KITCHENER	ON	CA	N2M4N6
829227883RR0001	SEND 'EM OFF SMILING CHILDREN'S CHARITY	Registered	Charity	1997-08-01		0001	Other purposes beneficial to the community	0110	P.O. BOX 333 	KITCHENER	ON	CA	N2G3Y9
855619334RR0001	KITCHENER CHURCH OF THE LORD JESUS CHRIST APOSTOLIC INC.	Registered	Charity	2002-03-28		0001	Advancement of Religion	0030	420 BRIDGEPORT RD 	KITCHENER	ON	CA	N2K1P1
819578220RR0001	Hopewell Worship Centre	Registered	Charity	2009-01-01		0001	Advancement of Religion	0030	113 WINDFLOWER DR 	KITCHENER	ON	CA	N2E3S9
108007253RR0001	STANLEY PARK BAPTIST CHURCH	Registered	Charity	1968-01-28		0001	Advancement of Religion	0030	31 LORRAINE AVENUE 	KITCHENER	ON	CA	N2B2M9
867211187RR0001	MALEKKHANU AND SHERALI FAZAL VISRAM MEMORIAL FOUNDATION	Registered	Charity	2000-01-01		0003	Relief of Poverty	0001	105 KING STREET EAST 	KITCHENER	ON	CA	N2G2K8
118983485RR0001	The Pregnancy Centre	Registered	Charity	1986-08-14		0001	Relief of Poverty	0001	40 FRANCIS ST S 	KITCHENER	ON	CA	N2G2A2
119110450RR0033	ST. FRANCIS OF ASSISI PARISH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	49 BLUERIDGE AVE 	KITCHENER	ON	CA	N2M4E2
870741949RR0001	ST PETER'S EVANGELICAL LUTHERAN CHURCH KITCHENER	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	49 QUEEN ST N 	KITCHENER	ON	CA	N2H2G9
891904971RR0001	ST VINCENT DE PAUL SOCIETY, BLESSED SACRAMENT CONFERENCE	Registered	Charity	1988-03-19		0001	Relief of Poverty	0001	305 LAURENTIAN DRIVE 	KITCHENER	ON	CA	N2E2N6
891897381RR0001	KUNTZ ELECTROPLATING INC EMPLOYEES CHARITABLE DEDUCTION TRUST	Registered	Charity	1991-02-18		0003	Other purposes beneficial to the community	0210	851 WILSON AVENUE 	KITCHENER	ON	CA	N2C1J1
891722035RR0001	BETHEL ROMANIAN BAPTIST CHURCH	Registered	Charity	1996-01-01		0001	Advancement of Religion	0030	1222 DOON VILLAGE ROAD 	KITCHENER	ON	CA	N2P1A5
891678484RR0001	THE REFUGE CHURCH OF JESUS CHRIST	Registered	Charity	1997-01-01		0001	Advancement of Religion	0030	909 ARMENIAN COURT 	KITCHENER	ON	CA	N2P2Y5
891675647RR0001	WATERLOO ROTARY CLUB CHARITABLE FOUNDATION	Registered	Charity	1992-07-01		0002	Other purposes beneficial to the community	0210	92 PEACH BLOSSOM CRES 	KITCHENER	ON	CA	N2E3Z8
891261398RR0001	BIBLE RESEARCH INTERNATIONAL	Registered	Charity	1977-02-01		0001	Advancement of Religion	0070	105 SPADINA RD. W. 	KITCHENER	ON	CA	N2M1G2
891146862RR0001	BRAIN INJURY ASSOCIATION WATERLOO-WELLINGTON	Registered	Charity	1987-05-04		0001	Other purposes beneficial to the community	0100	1 - 41 RIVER RD E 	KITCHENER	ON	CA	N2B2G3
890639941RR0001	BEAUTIFUL PENTECOSTAL CHRISTIAN TEMPLE	Registered	Charity	1992-08-18		0001	Advancement of Religion	0030	248 WESTMOUNT RD E 	KITCHENER	ON	CA	N2M4Z1
890388242RR0001	REACHING OUR OUTDOOR FRIENDS (KITCHENER)	Registered	Charity	1990-05-15		0001	Relief of Poverty	0001	35 SHELDON AVE N 	KITCHENER	ON	CA	N2H3M1
890254998RR0001	WATERLOO OPEN BIBLE CHURCH OF GOD	Registered	Charity	1995-04-01		0001	Advancement of Religion	0030	25 MADISON AVENUE N 	KITCHENER	ON	CA	N2H2Z3
889678298RR0001	J STECKLE HERITAGE HOMESTEAD	Registered	Charity	1988-12-22		0001	Other purposes beneficial to the community	0200	811 BLEAMS RD 	KITCHENER	ON	CA	N2E3X4
889459392RR0001	WITH HANDS OF JOY	Registered	Charity	1993-01-01		0001	Advancement of Education	0011	591 MANCHESTER ROAD 	KITCHENER	ON	CA	N2B1B2
889458378RR0001	COGNASHENE COMMUNITY CHURCH	Registered	Charity	1970-03-12		0001	Advancement of Religion	0030	RY - 72 SANDRA AVE 	KITCHENER	ON	CA	N2M1Z6
889237848RR0001	RELIGIOUS SOCIETY OF FRIENDS (QUAKERS), KITCHENER MONTHLY MEETING,	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	298 FREDERICK STREET 	KITCHENER	ON	CA	N2H2N5
891858334RR0001	INDIA HERITAGE RESEARCH FOUNDATION (IHRF) CANADA	Registered	Charity	1995-09-16	Penalized	0001	Advancement of Religion	0030	19 MILLVIEW STREET 	KITCHENER	ON	CA	N2P1W7
897400339RR0001	Mount Zion Assembly of Kitchener	Registered	Charity	2001-01-01		0001	Advancement of Religion	0030	PO BOX 27016 RPO FOREST GLEN 	KITCHENER	ON	CA	N2E3K2
106716525RR0001	WOMEN'S CRISIS SERVICES OF WATERLOO REGION	Registered	Charity	1985-03-04		0001	Relief of Poverty	0001	700 HERITAGE DR 	KITCHENER	ON	CA	N2A3N9
892354564RR0001	GRAND VALLEY WOODCARVERS	Registered	Charity	1989-08-27		0001	Other purposes beneficial to the community	0190	PO BOX 25011 SHOPPERS DRUG MART POSTAL OUTLET	KITCHENER	ON	CA	N2A4A5
872980966RR0001	PHOMMAVIHARAM BUDDHIST TEMPLE (KITCHENER-WATERLOO)	Registered	Charity	1997-01-01		0001	Advancement of Religion	0060	12 HOFFMAN ST 	KITCHENER	ON	CA	N2M3M4
107951618RR0293	THE SALVATION ARMY NEW DIRECTIONS (KITCHENER)	Registered	Charity	1967-01-01		0001	Relief of Poverty	0001	1-657 KING ST E 	KITCHENER	ON	CA	N2G2M4
107393316RR0001	FOREST HILL UNITED CHURCH	Registered	Charity	1989-03-05		0001	Advancement of Religion	0030	121 WESTMOUNT RD 	KITCHENER	ON	CA	N2M4Y8
107579674RR0001	THE KITCHENER-WATERLOO ART GALLERY	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0200	101 QUEEN ST N 	KITCHENER	ON	CA	N2H6P7
107650178RR0001	LUTHERWOOD	Registered	Charity	1995-04-01		0001	Relief of Poverty	0001	165 KING ST E 	KITCHENER	ON	CA	N2G2K8
107605917RR0001	LEARNING TO LIVE	Registered	Charity	1983-01-01		0001	Advancement of Religion	0070	2 HIGHBROOK ST 	KITCHENER	ON	CA	N2E3P1
107579815RR0001	K-W Habilitation Services	Registered	Charity	1971-10-01		0001	Other purposes beneficial to the community	0100	99 OTTAWA ST. S 	KITCHENER	ON	CA	N2G3S8
118843564RR0001	CENTRAL ONTARIO DEVELOPMENTAL RIDING PROGRAM	Registered	Charity	1985-01-01		0001	Relief of Poverty	0001	584 PIONEER TOWER ROAD 	KITCHENER	ON	CA	N2P2H9
118843549RR0001	CENTRAL ONTARIO CHINESE CULTURAL CENTRE INC.	Registered	Charity	1979-01-01		0001	Other purposes beneficial to the community	0200	17 ROLLING ACRES DR 	KITCHENER	ON	CA	N2A3W5
118826437RR0001	Cameron Music Support Association	Registered	Charity	1985-03-13		0001	Other purposes beneficial to the community	0190	301 CHARLES ST EAST 	KITCHENER	ON	CA	N2G2P8
108083486RR0001	THE GREEK ORTHODOX COMMUNITY OF SAINTS PETER AND PAUL CHURCH	Registered	Charity	1984-01-01		0001	Advancement of Religion	0030	527 BRIDGEPORT RD E 	KITCHENER	ON	CA	N2K1N6
108021528RR0001	ST. JAMES ROSEMOUNT UNITED CHURCH	Registered	Charity	1989-03-04		0001	Advancement of Religion	0030	171 SHERWOOD AVE 	KITCHENER	ON	CA	N2B1K2
888525466RR0001	The Apostolic Church Kitchener-Waterloo	Registered	Charity	1992-11-21		0001	Advancement of Religion	0030	358 MOUNTAIN LAUREL CRES 	KITCHENER	ON	CA	N2E4B7
881104491RR0001	SOUND OF FAITH BROADCASTING	Registered	Charity	1995-11-15		0001	Advancement of Religion	0070	C - 24 MCINTYRE PL 	KITCHENER	ON	CA	N2R1H7
119052678RR0001	Nazarene Christian Congregation	Registered	Charity	1984-02-15		0001	Advancement of Religion	0030	448 LANCASTER ST W 	KITCHENER	ON	CA	N2H4V9
130563695RR0001	Holy Cross Evangelical Lutheran Church of Kitchener	Registered	Charity	1994-01-29		0001	Advancement of Religion	0030	322 EAST AVENUE AT STIRLING AV 	KITCHENER	ON	CA	N2H1Z5
118983527RR0001	KITCHENER-WATERLOO HOUSE CHURCH ASSEMBLY	Registered	Charity	1978-01-18		0001	Advancement of Religion	0030	101 DAVID STREET 	KITCHENER	ON	CA	N2G1Y1
118983568RR0001	THE GRAND PHILHARMONIC CHOIR	Registered	Charity	1981-09-01		0001	Other purposes beneficial to the community	0190	198 - 871 VICTORIA ST N 	KITCHENER	ON	CA	N2B3S4
119110450RR0088	ST. MARK PARISH, KITCHENER, ONTARIO	Registered	Charity	1988-08-01		0001	Advancement of Religion	0030	55 DRIFTWOOD DR 	KITCHENER	ON	CA	N2N3A2
119278133RR0001	UNITED WAY WATERLOO REGION COMMUNITIES	Registered	Charity	1981-10-01		0002	Other purposes beneficial to the community	0210	50 SPORTSWORLD CROSSING RD UNIT 220	KITCHENER	ON	CA	N2P0A4
124675240RR0001	CHURCH OF THE GOOD SHEPHERD KITCHENER	Registered	Charity	1994-01-01		0001	Advancement of Religion	0030	116 QUEEN ST N 	KITCHENER	ON	CA	N2H2H7
119242378RR0001	THE LITERACY GROUP OF WATERLOO REGION	Registered	Charity	1986-07-01		0001	Other purposes beneficial to the community	0160	8 - 300 VICTORIA ST N 	KITCHENER	ON	CA	N2H6R9
132414392RR0001	KITCHENER-WATERLOO CHRISTIAN SCHOOL SOCIETY	Registered	Charity	1983-12-31		0001	Advancement of Education	0010	11 LAURENTIAN DRIVE 	KITCHENER	ON	CA	N2E1C1
138942156RR0001	Marillac Place	Registered	Charity	1992-07-01		0001	Relief of Poverty	0001	109 YOUNG ST 	KITCHENER	ON	CA	N2H4Z2
135709871RR0001	La Garderie Des Lutins De Kitchener	Registered	Charity	1998-01-01		0001	Other purposes beneficial to the community	0160	345 THE COUNTRY WAY 	KITCHENER	ON	CA	N2E2S3
140854852RR0001	WATERLOO REGIONAL CRIME STOPPERS	Registered	Charity	1987-01-28		0001	Other purposes beneficial to the community	0160	PO BOX 2482 STN C 	KITCHENER	ON	CA	N2H6M3
118937564RR0001	GERMAN CANADIAN CHOIR ASSOCIATION	Registered	Charity	1990-09-01		0001	Other purposes beneficial to the community	0190	40 LANARK CRT 	KITCHENER	ON	CA	N2N2R4
107435497RR0001	GLEN ACRES BAPTIST CHURCH	Registered	Charity	1992-01-01		0001	Advancement of Religion	0030	230 HARTWOOD AVENUE 	KITCHENER	ON	CA	N2H6B1
132784943RR0001	EXTEND-A-FAMILY WATERLOO REGION	Registered	Charity	1989-06-11		0001	Relief of Poverty	0001	91 MOORE AVENUE 	KITCHENER	ON	CA	N2H3S4
822918405RR0001	Sai Bhakti Dham	Registered	Charity	2011-05-09		0001	Advancement of Religion	0060	52A MCINTYRE PL 	KITCHENER	ON	CA	N2R1H9
107385619RR0001	THE FIRST CHRISTIAN REFORMED CHURCH OF KITCHENER INC.	Registered	Charity	1993-01-01		0001	Advancement of Religion	0030	1275 BLEAMS RD 	KITCHENER	ON	CA	N2E3X6
100977180RR0001	CHILD WITNESS CENTRE OF WATERLOO REGION	Registered	Charity	1995-12-17		0001	Other purposes beneficial to the community	0160	111 DUKE STREET EAST 	KITCHENER	ON	CA	N2H1A4
107572596RR0001	KITCHENER-WATERLOO KOREAN PRESBYTERIAN CHURCH	Registered	Charity	1989-03-04		0001	Advancement of Religion	0030	130 DUKE STREET EAST 	KITCHENER	ON	CA	N2H1A7
119150209RR0001	SILVER LAKE MENNONITE CAMP INC.	Registered	Charity	1993-11-20		0001	Other purposes beneficial to the community	0200	209 - 50 KENT AVE 	KITCHENER	ON	CA	N2G3R1
806257010RR0001	ST.MARY'S GENERAL HOSPITAL VOLUNTEER ASSOCIATION	Registered	Charity	1981-01-01		0001	Other purposes beneficial to the community	0110	911 QUEENS BLVD 	KITCHENER	ON	CA	N2M1B2
